epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5363.95,0.71729,3.5413,1.19653,0.28876,0.26981,0.16577,0.12286,0.76233,2.49455,1.30796,0.00332542,0.00332542,0.00332542
2,5525.24,0.6866,2.62331,1.15462,0.1951,0.38124,0.24955,0.16828,0.95573,2.49424,1.49392,0.00659283,0.00659283,0.00659283
3,5686.25,0.73357,2.39913,1.1701,0.37082,0.29301,0.20227,0.13003,0.98114,2.57672,1.51987,0.00979424,0.00979424,0.00979424
4,5844.21,0.77878,2.28448,1.19444,0.36412,0.29946,0.24194,0.15029,1.01553,2.56525,1.55358,0.009703,0.009703,0.009703
5,6001.26,0.73616,2.04067,1.15935,0.40232,0.38859,0.3211,0.21749,0.9517,2.10534,1.46554,0.009604,0.009604,0.009604
6,6158.77,0.70255,1.84374,1.13581,0.47889,0.35536,0.3485,0.25237,0.89278,1.96757,1.43287,0.009505,0.009505,0.009505
7,6318.65,0.67611,1.7147,1.12095,0.42738,0.4374,0.39046,0.28208,0.89486,1.86852,1.40635,0.009406,0.009406,0.009406
8,6477.46,0.655,1.60128,1.10803,0.48097,0.41243,0.4218,0.29839,0.88624,1.80797,1.39009,0.009307,0.009307,0.009307
9,6637.82,0.63806,1.52218,1.09871,0.47249,0.496,0.47816,0.36028,0.76523,1.67174,1.27589,0.009208,0.009208,0.009208
10,6796.73,0.62996,1.48353,1.0956,0.60471,0.44727,0.50116,0.38785,0.73809,1.4984,1.26565,0.009109,0.009109,0.009109
11,6959.24,0.60472,1.38571,1.07602,0.50412,0.50944,0.52316,0.40981,0.70751,1.4655,1.23665,0.00901,0.00901,0.00901
12,7121.64,0.59141,1.36351,1.07177,0.61206,0.48215,0.53064,0.4164,0.70528,1.45938,1.23276,0.008911,0.008911,0.008911
13,7281.93,0.57364,1.29266,1.06171,0.58569,0.53346,0.56662,0.43787,0.72423,1.40202,1.24398,0.008812,0.008812,0.008812
14,7443.96,0.56298,1.24927,1.05827,0.52912,0.56559,0.55766,0.43544,0.72095,1.4133,1.22313,0.008713,0.008713,0.008713
15,7601.75,0.56311,1.23623,1.05674,0.5293,0.49832,0.5235,0.41135,0.72042,1.57177,1.22532,0.008614,0.008614,0.008614
16,7763.39,0.54975,1.19746,1.0448,0.6797,0.53259,0.60333,0.47335,0.68505,1.34703,1.2028,0.008515,0.008515,0.008515
17,7922.27,0.55161,1.18493,1.0502,0.57684,0.53415,0.58176,0.46651,0.67567,1.3675,1.18753,0.008416,0.008416,0.008416
18,8084.87,0.54452,1.14531,1.04434,0.55286,0.57507,0.59436,0.47243,0.67249,1.31372,1.19639,0.008317,0.008317,0.008317
19,8247.79,0.53283,1.12178,1.03293,0.57036,0.5498,0.54844,0.42594,0.7206,1.40457,1.23963,0.008218,0.008218,0.008218
20,8408.54,0.51888,1.09707,1.02934,0.57092,0.58733,0.59888,0.47548,0.67101,1.3608,1.20611,0.008119,0.008119,0.008119
21,8571.19,0.51577,1.06623,1.02947,0.61851,0.57859,0.62511,0.50894,0.63014,1.24282,1.15374,0.00802,0.00802,0.00802
22,8733.67,0.50799,1.03578,1.02249,0.73145,0.57945,0.66372,0.54754,0.60096,1.11812,1.11635,0.007921,0.007921,0.007921
23,8894.05,0.50596,1.03126,1.02372,0.67154,0.59512,0.63404,0.51169,0.6362,1.20903,1.15948,0.007822,0.007822,0.007822
24,9057.63,0.49867,1.01197,1.0197,0.59187,0.60248,0.61482,0.49199,0.63197,1.38584,1.14876,0.007723,0.007723,0.007723
25,9222.76,0.4928,0.97715,1.01548,0.56154,0.63135,0.62529,0.50875,0.60411,1.24193,1.13604,0.007624,0.007624,0.007624
26,9384.9,0.49881,0.99241,1.02205,0.63269,0.59062,0.61852,0.51434,0.62372,1.23903,1.15419,0.007525,0.007525,0.007525
27,9548.03,0.48501,0.94909,1.00977,0.64066,0.61229,0.65335,0.53333,0.59306,1.14772,1.11897,0.007426,0.007426,0.007426
28,9709.66,0.48267,0.92991,1.01242,0.67994,0.60202,0.65328,0.54354,0.59449,1.19898,1.11629,0.007327,0.007327,0.007327
29,9871.27,0.48053,0.9294,1.00877,0.68789,0.54785,0.6205,0.50522,0.62483,1.36677,1.1475,0.007228,0.007228,0.007228
30,10031.8,0.48166,0.92141,1.0086,0.64686,0.61633,0.65909,0.54357,0.59456,1.1328,1.11577,0.007129,0.007129,0.007129
31,10192.3,0.47026,0.89558,1.00248,0.65601,0.59027,0.64059,0.52106,0.6054,1.23382,1.1293,0.00703,0.00703,0.00703
32,10354,0.46995,0.88025,1.00533,0.65914,0.62178,0.6601,0.54079,0.591,1.15577,1.11975,0.006931,0.006931,0.006931
33,10513.5,0.46595,0.87572,0.99946,0.60481,0.64771,0.65839,0.54155,0.57826,1.2219,1.10693,0.006832,0.006832,0.006832
34,10673,0.46028,0.85827,0.99928,0.66616,0.61918,0.67234,0.55653,0.57133,1.09925,1.08321,0.006733,0.006733,0.006733
35,10832.4,0.46196,0.85196,1.00098,0.70966,0.62018,0.69215,0.57435,0.5596,1.08307,1.07728,0.006634,0.006634,0.006634
36,15819.4,0.45991,0.82989,0.99762,0.72585,0.62666,0.66898,0.55095,0.57801,1.16997,1.10684,0.006535,0.006535,0.006535
